date,Symbol,rv5_ss,rv10_ss,medrv,rk_twoscale,rsv,rv10,rsv_ss,bv,rk_th2,rk_parzen,open_price,close_time,rv5,bv_ss
2018-07-25 00:00:00+01:00,S&P500,2.18E-05,2.88E-05,7.39E-06,1.92E-05,4.07E-06,2.88E-05,4.07E-06,2.06E-05,1.89E-05,3.25E-05,2817.73,160001,2.18E-05,2.06E-05
2018-07-26 00:00:00+01:00,S&P500,1.19E-05,1.07E-05,5.88E-06,1.35E-05,5.88E-06,1.07E-05,5.88E-06,1.16E-05,1.37E-05,9.50E-06,2835.49,160001,1.19E-05,1.16E-05
2018-07-27 00:00:00+01:00,S&P500,3.07E-05,3.21E-05,1.37E-05,2.70E-05,2.23E-05,3.21E-05,2.23E-05,2.76E-05,2.67E-05,3.06E-05,2842.35,160001,3.07E-05,2.76E-05
2018-07-30 00:00:00+01:00,S&P500,2.60E-05,1.85E-05,8.91E-06,2.53E-05,1.47E-05,1.85E-05,1.47E-05,2.79E-05,2.45E-05,1.47E-05,2819,160001,2.60E-05,2.79E-05
2018-07-31 00:00:00+01:00,S&P500,1.92E-05,2.08E-05,5.27E-06,1.67E-05,8.12E-06,2.08E-05,8.12E-06,1.29E-05,1.71E-05,1.62E-05,2809.73,160001,1.92E-05,1.29E-05
2018-08-01 00:00:00+01:00,S&P500,1.19E-05,1.16E-05,7.56E-06,1.74E-05,7.19E-06,1.16E-05,7.19E-06,1.23E-05,1.79E-05,1.44E-05,2821.17,160001,1.19E-05,1.23E-05
2018-08-02 00:00:00+01:00,S&P500,1.42E-05,1.55E-05,6.63E-06,1.74E-05,3.56E-06,1.55E-05,3.56E-06,1.16E-05,1.65E-05,1.99E-05,2800.48,160001,1.42E-05,1.16E-05
2018-08-03 00:00:00+01:00,S&P500,9.04E-06,7.52E-06,3.33E-06,9.99E-06,4.09E-06,7.52E-06,4.09E-06,7.52E-06,1.01E-05,6.45E-06,2829.62,160001,9.04E-06,7.52E-06
2018-08-06 00:00:00+01:00,S&P500,6.91E-06,6.77E-06,4.11E-06,6.85E-06,3.27E-06,6.77E-06,3.27E-06,6.32E-06,6.74E-06,7.94E-06,2840.29,160000,6.91E-06,6.32E-06
2018-08-07 00:00:00+01:00,S&P500,8.98E-06,9.31E-06,6.07E-06,6.78E-06,4.16E-06,9.31E-06,4.16E-06,9.76E-06,6.65E-06,4.88E-06,2855.92,160001,8.98E-06,9.76E-06
